hotel_review,sentiment,restaurant_rating
"Great stay, lovely staff!","positive","good"
"Room was okay, nothing special.","neutral","neutral"
"Terrible experience, dirty room and rude service.","negative","bad"
"Excellent location and breakfast was delicious.","positive","good"
"The bed was uncomfortable and the noise kept me up all night.","negative","neutral"
"Decent hotel for the price.","neutral","good"
"Fantastic hotel, exceeded my expectations!","positive","good"
"The bathroom was outdated and could use some renovation.","negative","neutral"
"Good location, but the room was small.","neutral","bad"
"Exceptional service and a wonderful dining experience.","positive","good"
"Very disappointing, wouldn't stay here again.","negative","bad"
"Clean and comfortable, would recommend.","positive","neutral"
"Average hotel, nothing to complain about.","neutral","neutral"
"The restaurant was overpriced and the food was bland.","negative","bad"
"Beautiful hotel with a fantastic restaurant.","positive","good"
